pagina,id_doc,remetente,destinatario,data,tipo_doc,onomastico,memo_resumo
1460,CO_0960,Athos Bulcão,Candido Portinari,23/07/1946,Carta,Alfredo Ceschiatti,"Dá notícias de sua vida pessoal e artística, bem como da vida intelectual do Rio e de São Paulo.Comenta que visitou a Capela Mayrink na Floresta da Tijuca, elogiando os trabalhos que Portinari executou lá. Lamenta a extrema umidade do local."
1462,CO_0961,Athos Bulcão,Candido Portinari,01/09/1946,Carta,null,"Comenta a dificuldade que vem enfrentando para obter sua bolsa de estudos, relatando os distúrbios políticos que vem ocorrendo no Rio de Janeiro."
1463,CO_0962,Francisco Matarazzo Sobrinho,Theodemiro Tostes,07/12/1955,Carta,null,"Trata de alguns detalhes para exposição dos painéis de Portinari para a ONU, no Museu de Arte Moderna de São Paulo.."
1464,CO_0963,Athos Bulcão,Maria Portinari,29/12/1953,Bilhete,null,"Lamenta não poder participar das homenagens a Portinari, por ocasião de seu aniversário."
1465,CO_0964,Athos Bulcão,Candido Portinari,21/03/1960,Bilhete,null,Informa estar enviando as medidas da parede e a planta da sala onde ficaria um painel de Portinari.
1466,CO_0965,Athos Bulcão,Maria Portinari,/  /1946,Carta,Cícero Dias,Noticia a vida artística do Rio de Janeiro e o sucesso alcançado pelo Balé Iara.
1467,CO_0966,Ado Malagoli,Maria Portinari,23/06/1955,Bilhete,null,"Diz estar enviando o convite oficial para a participação de Portinari em exposição em Porto Alegre, pedindo que Maria use o seu prestígio para garantir o envio do quadro de Portinari."
1468,CO_0967,Irmgard Burchard,Candido Portinari,19/09/1945,Carta,null,"Solicita uma carta de recomendação para o governo suiço, atestando a importância de sua permanência no Brasil, para completar seus estudos."
1469,CO_0968,William A.M. Burden,Candido Portinari,23/09/1941,Carta,null,"Informa sobre a chegada de um quadro, convidando os Portinaris para jantar."
1470,CO_0969,Raul Bopp,Candido Portinari,21/01/1941,Carta,Antônio Portinari,"Informa ter chegado de São Paulo, onde encontrou-se com Zé (Antônio Portinari), que ""intimou-o"" a ir a Brodowski. Avisa que só poderá ir em fevereiro.. Comenta negociações sobre seu (Bopp) interesse em ir para Los Angeles. Diz que, talvez, vá precisar de Portinari, para conseguir uma bolsa para Pilar. Retoma assunto sobre requisição de lotes de terra em uma granja modelo, no Estado do Rio, sugerindo modelo de requerimento."
1471,CO_0970,Gordon Lee Burgett,Candido Portinari,23/10/1959,Carta,null,"Apresenta-se, estudante e jornalista americano, pedindo que Portinari conceda-lhe entrevista, para jornal de Des Plaines, IL, EUA, do qual é correspondente."
1472,CO_0971,Rodolfo Burgos,Candido Portinari,25/07/1947,Carta,null,"Declarando-se admirador de Portinari, solicita uma fotografia autografada e dedicada a ele, Rodolfo."
1473,CO_0972,Helena Alexander Burr,Candido Portinari,23/03/1944,Carta,null,"Deseja saber o preço que Portinari cobraria para fazer um retrato dela, aventando a possibilidade de ser usada uma determinada técnica que seria, no seu entender, mais barata."
1474,CO_0973,Margaret Burr,Maria Portinari,17/04/19--,Carta,João Candido Portinari,Indorma que chegaram há três dias. Pede notícias da família. Pergunta pela saúde de João Candido.
1476,CO_0974,Clyde H. Burroughs,Barbara Townsend,23/08/1940,Carta,null,"Avisa que não têm fotografias de obras de Portinari, informando o custo para fotografar a coleção."
1477,CO_0975,Clyde H. Burroughs,Elodie Courter,25/04/1941,Carta,null,"Troca informações com Elodie Courter, do Museum of Modern Art de Nova York, sobre obras de Portinari."
1478,CO_0976,H. Coulthard Burrow,Candido Portinari,05/12/1951,Carta,Christopher Powell,"Informa estar anexando uma carta do tenente Christopher Powell, bem como um livro que deveria ser devolvido ao pintor. Lamenta que Portinari não tenha se encontrado com Eric Newton."
1479,CO_0977,Raul V. D. Bylaardt,Candido Portinari,25/01/1950,Carta,null,"Desculpa-se, mostrando-se desejoso de obter algumas informações sobre as obras do artista."
1481,CO_0978,João Cabanas,Candido Portinari,03/10/1953,Carta,null,Agradece o quadro com que Portinari presenteou-lhe.
1483,CO_0979,Manuel dos Santos Cabanas,Candido Portinari,25/01/1956,Carta,Mendes André,"Encarregado de realizar algumas capas em madeira, para o livro de Ferreira de Castro, ilustrado por Portinari, informa estar enviando alguns entalhes para o artista, esperando sua aprovação."
1485,CO_0980,John Moors Cabot,Candido Portinari,31/10/1960,Carta,null,Encomenda um quadro a Portinari.
1486,CO_0981,Ado Malagoli,Maria Portinari,19/09/1955,Carta,null,"Como diretor da Divisão de Cultura, da Secretaria de Educação e Cultura do Estado do Rio Grande do Sul, confirma a aquisição de um quadro de Portinari, para a referida Divisão."
1487,CO_0982,Ado Malagoli,Candido Portinari,/  /1955,Telegrama,null,Avisa que os caixotes seguiram pela Varig e que segue carta.
1488,CO_0983,Ado Malagoli,Maria Portinari,22/06/1955,Telegrama,null,"Informa estar sendo aguardado o envio de quadro de Portinari para a exposição. Pede a ajuda de Maria, junto ao artista."
1489,CO_0984,Ado Malagoli,Maria Portinari,/  /1955,Bilhete,null,"Pede que, de acordo com entendimento verbal, seja enviada obra de Portinari para a exposição. Questiona uma possível ida de Portinari ao local."
1490,CO_0985,Ado Malagoli,Candido Portinari,08/07/1955,Telegrama,null,Avisa que chegará ao Rio na semana seguinte.
1491,CO_0986,Jefferson Caffery,Candido Portinari,12/06/1941,Carta,null,Agradece os retoques que Portinari executou em seu quadro e a sugestão de trocar a moldura por outra mais apropriada.
1492,CO_0987,Gertrude Caffery,Maria Portinari,02/01/1943,Carta,null,Agradece um quadro de flores que recebeu de Portinari.
1494,CO_0988,Jefferson Caffery,Candido Portinari,31/08/1943,Carta,null,"Agradece palavras de Portinari, pronunciadas na ABI, em festa em sua homenagem."
1495,CO_0989,Ely Lima,Candido Portinari,25/03/1955,Telegrama,null,"Solicita comparecimento do pintor ao Departamento Imobiliário da Equitativa, para tratar de assunto de interesse mútuo."
1496,CO_0990,Tambelini Machado,Candido Portinari,18/03/1955,Telegrama,null,"Informa que a ""Via Sacra"" foi abençoada pelo bispo, que chamou Portinari de ""mestre""."
1497,CO_0991,null,Candido Portinari,,Telegrama,Michel Riquet,"Avisa que, por motivo de saúde, o Pe. Michel Riquet não pronunciará a conferência marcada."
1498,CO_0992,null,Candido Portinari,10/01/1957,Telegrama,null,Deseja saber a data da volta de Portinari para para narcar alguma coisa não definida.
1499,CO_0993,null,Candido Portinari,09/02/1955,Telegrama,Ferreira de Castro,"Confirma a encomenda de Ferreira de Castro e agradece a Portinari ter aceito fazer as ilustrações de ""A selva""."
1500,CO_0994,null,Candido Portinari,13/05/1947,Telegrama,Roger Caillois,"Convida Portinari a comparecer à conferência do escritor francês Roger Caillois, na ABI."
1501,CO_0995,Anselmo Pimoli,Candido Portinari,/05/1953,Carta,null,"Sabedores de problemas de saúde de Portinari, enviam, por intermédio de artistas brasileiros, votos de melhoras."
1502,CO_0996,null,Candido Portinari,/  /1955,Telegrama,null,"Noticia êxito da exposição. Avisa que estão dando urgência na impressão. Informa envio dinheiro, via bancária."
1503,CO_0997,Belisário Salles Caldas,Candido Portinari,11/06/1953,Carta,Otávio Frias Filho,"Pede que Portinari informe o tipo de revestimento final a ser aplicado na superfície que irá receber um painel decorativo, a ser executado pelo artista no hall da entrada principal da Galeria Galifórnia."
1504,CO_0998,Bill Calfee,Candido Portinari,18/12/1942,Carta,null,"Elogia a obra de Portinari, cumprimentando-o pelo Natal. Comenta que sua filha ganhou, de presente, o livro ""Maria Rosa"", ilustrado por Portinari."
1505,CO_0999,Waldomiro Corrêa Silva,Candido Portinari,/07/1954,Carta,null,"Convidam Portinari para assistir às solenidades comemorativas do Jubileu de Ouro da Associação, bem como à inauguração do seu edifício-sede."
1506,CO_1000,Lopes Gonçalves,Candido Portinari,12/03/1955,Telegrama,Paschoal Carlos Magno,"Convite para jantar de adesão, em despedida de Paschoal Carlos Magno."
1507,CO_1001,Pearl M. Call,Candido Portinari,16/09/1941,Carta,Joseph E. Davies,Carta-convite para Portinari ser membro da Cruz Vermelha.
1512,CO_1002,Antonio Callado,Candido Portinari,16/12/1954,Carta,null,"Informa só ter encontrado 1 tubo da tinta pedida por Portinari, perguntando se outros tons de verde, do mesmo fabricante, interessariam."
1514,CO_1003,Giuseppe A. Callegari,Candido Portinari,08/08/1947,Carta,null,"Apresenta-se, informando ser um homem de oitenta e cinco anos que, estando na Argentina em casa de uma filha, foi ver a exposição no Salão Peuser, que muito o emocionou. Pede a Portinari uma fotografia sua."
1514,CO_1004,Pedro Calmon,Candido Portinari,13/03/1956,Carta,Alfredo Galvão,"Associando-se às homenagens, prestadas a Portinari, pela execução do painéis ""Guerra"" e ""Paz"", transmite o teor da proposta apresentada pelo prof. Alfredo Galvão, aprovada pelo Conselho Universitário, de inserir na ata dos trabalhos de 8 do mês em curso um voto de louvor ao pintor."
1515,CO_1005,Aldo Calvet,Candido Portinari,07/05/1953,Carta,null,Convida Portinari para integrar a Comissão de Honra da Cia. Dramática Nacional.
1516,CO_1006,José Calvino Filho,Candido Portinari,01/10/1948,Carta,null,"Convida Portinari para a inauguração da Galeria Calvino. Informa estar distribuindo, aos jornais, uma seção de Artes Plásticas, incluindo uma curta biografia de um pintor brasileiro. Pede que Portinari organize a sua."
1517,CO_1007,José Calvino Filho,Candido Portinari,12/07/1948,Carta,null,Propõe que sua Galeria faça a propaganda e a venda das obras de Portinari. Lista as vantagens do contrato com Calvino Filho.
1519,CO_1008,Ferreira de Castro,Candido Portinari,20/12/1955,Carta,Helena Prechel,"Agradece o desenho enviado por Portinari, informando ter entregue os outros a Mário Dionísio e a Maria Leonor. Diz, ainda, que entregou as ilustrações para ""A selva"" à D. Helena Prechel, conforme o artista havia indicado."
1520,CO_1009,Genaro de Carvalho,Candido Portinari,04/12/1955,Memorando,null,Convite para inauguração de sua exposição.
1521,CO_1010,null,Candido Portinari,18/02/1947,Carta,Vicente Japoulo,"Apresenta Vicente Japoulo que, chefiando uma caravana de militantes do Partido, deseja trocar impressões com Portinari sobre o momento político."
1522,CO_1011,Jayme Adour da Câmara,Candido Portinari,04/10/1934,Carta,Geraldo Ferraz,"Comenta que o clima de efervescência política, em São Paulo, é propício à exposição de Portinari. Informa que a imprensa paulista estará à disposição para divulgar a mostra."
1526,CO_1012,Genaro de Carvalho,Candido Portinari,15/12/1955,Telegrama,null,Convida Portinari para o cocktail de encerramento de sua exposição.
1527,CO_1013,Jayme Adour da Câmara,Candido Portinari,/  /1934,Carta,Hermes Lima,"Relata suas providências para publicidade da mostra de Portinari, em São Paulo. Pede que o pintor faça o retrato da esposa de Hermes Lima, por um preço camarada."
1529,CO_1014,Jayme Adour da Câmara,Candido Portinari,/  /1934,Carta,Geraldo Ferraz,"Faz comentários sobre a divulgação que está conseguindo para a exposição de Portinari, em São Paulo. Comenta, ainda, a passagem de Jobim por São Paulo."
1530,CO_1015,Jayme Adour da Câmara,Candido Portinari,/  /19--,Cartão,Lourival Fontes,"Pede que Portinari mande o ""álbum"" pelo portador, para ""lançá-lo em cima do Lourival"" Fontes."
1531,CO_1016,Jayme Adour da Câmara,Candido Portinari,05/03/1959,Carta,Aquilino Ribeiro,"Transmite ao pintor o interesse que Aquilino Ribeiro, escritor português e tradutor do ""D. Quixote"", tem em ter a edição, do citado livro, ilustrada com desenhos de Portinari, transcrevendo trecho da carta recebida de Aquilino, quando refere-se a Portinari. Por ter demorado em enviar esta, recebeu carta de Aquilino já endereçada ao Portinari. Diz estar enviando-a."
1532,CO_1017,null,Maria Portinari,/  /19--,Cartão,null,"Informa ter recebido, ""hoje"", as fotografias que está enviando, e que entregou a plantas ao Mário. Dá notícias vagas de um movimento, sem esclarecer do que se trata."
1533,CO_1018,Iberê Gomes Grosso,Candido Portinari,16/03/1940,Carta,Arnaldo Estrela,"Tece considerações sobre as dificuldades da vida de artista, para conciliar arte x aspectos materiais. Convida Portinari a participar de um grupo de artistas que pretende propor ao governo que crie uma espécie de ""fundo"" para a manutenção de atividades culturais, proveniente das rendas de cidades, municípios, capitais."
1536,CO_1019,Iberê Camargo,Candido Portinari,25/12/1946,Carta,null,"Esclarece uma notícia publicada na revista de ""O Globo"", que julga ser injusta, agradecendo a Portinari ter podido estar sob sua orientação artística."
1537,CO_1020,Iberê Camargo,Candido Portinari,29/09/1950,Carta,null,Tenta convencer Portinari a passar na Itália o resto de sua estadia na Europa.
1538,CO_1021,Iberê Camargo,Candido Portinari,20/08/1950,Carta,null,"Transmite impressões de viagem à Itália, mostrando-se desejoso de encontrar-se com o casal Portinari."
1539,CO_1022,Carlos Vianna,Candido Portinari,05/02/1954,Telegrama,null,"Justifica-se por não ter comparecido à inauguração da mostra de Portinari, desejando grande êxito."
1540,CO_1023,Jordão de Oliveira,Candido Portinari,20/01/1954,Cartão,null,Desculpa-se por não ter comparecido às homenagens ao cinquentenário de Portinari.
1541,CO_1024,Era Campagnol,Candido Portinari,14/06/1958,Carta,null,"Informa estar encaminhando cartas, onde pede algum favor, que não fica esclarecido."
1542,CO_1025,A. Vicente Campinas,Candido Portinari,24/07/1958,Carta,null,"Autor de vários livros, pede que Portinari faça uns desenhos para seu novo livro, ""Raiz da serenidade""."
1543,CO_1026,Campylia,Candido Portinari,/  /19--,Telegrama,null,Pede que Portinari remeta uma obra sua para abrilhantar uma exposição coletiva em Taubaté.
1544,CO_1027,Quirino Campofiorito,Candido Portinari,18/02/1930,Cartão-postal,Manoel Santiago,"Informa que tentou despedir-se de Portinari, mas houve desencontro. Pede que escreva, a ele ou ao Santiago, dando notícias sinceras, contando ter lido a primeira entrevista dele, Portinari, ao Correio da Manhã."
1546,CO_1028,Quirino Campofiorito,Candido Portinari,15/02/1940,Carta,Mário de Andrade,"Comenta estar em Araraquara e que, ali, encontrou-se com Mário de Andrade. Informa estra pensando levar alunos da Escola de Belas Artes local para visitar Portinari em Brodowski. Para isso, pede autorização de Portinari."
1548,CO_1029,Quirino Campofiorito,Candido Portinari,21/03/1941,Carta,Mário de Andrade,"Agradece a acolhida que ele e seus alunos receberam, de todos, durante sua visita a Brodowski."
1551,CO_1030,Quirino Campofiorito,Candido Portinari,18/09/1943,Cartão,Hilda Campofiorito,"Lamenta que os Portinaris não tenham comparecido à inauguração da exposição de Hilda e que eles não tenham jantado juntos, na véspera da viagem de Portinari a Brodowski, como haviam combinado."
1553,CO_1031,Quirino Campofiorito,Candido Portinari,08/05/1948,Carta,Ado Malagoli,"Elogia ""A Primeira Missa no Brasil"". Lista os artistas escolhidos para participar da Bienal de Veneza, criticando a ausência do nome de Portinari. Dá notícias do Museu de Arte Moderna do Rio de Janeiro. Comenta uma provável transferência de Portinari para Buenos Aires e o sucesso do livro editado pela Pinguin."
1557,CO_1032,Hilda Campofiorito,Candido Portinari,/  /1944,Carta Circular,null,Saúda e deseja felicidades a Portinari e aos seus.
1559,CO_1033,Quirino Campofiorito,Candido Portinari,/01/1944,Cartão,null,"Formula os melhores votos de saúde e prosperidade para 1944, à Portinari e aos seus."
1561,CO_1034,Quirino Campofiorito,Candido Portinari,/12/1944,Cartão,null,"Cumprimenta os Portinaris, desejando felicidades para 1945."
1563,CO_1035,Hilda Campofiorito,Candido Portinari,18/12/1944,Cartão,null,Cumprimenta e deseja Feliz Ano Novo aos Portinaris.
1565,CO_1036,Hilda Campofiorito,Maria Portinari,/  /1945,Cartão,null,Formula votos de felicidades para o ano de 1946.
1567,CO_1037,Quirino Campofiorito,Candido Portinari,/  /1946,Cartão,null,"Formula votos de felicidades para o ano de 1946, a Portinari e a todos os seus."
1569,CO_1038,Quirino Campofiorito,Candido Portinari,/01/1948,Cartão,Cipriano Santiago Vitureira,Pede notícias do mural para o Banco Boavista. Envia abraço para Cipriano Vitureira.
1571,CO_1039,Hilda Campofiorito,Maria Portinari,/12/1947,Cartão,null,Formula votos de felicidades para o ano de 1948.
1573,CO_1040,Quirino Campofiorito,Candido Portinari,11/01/1947,Carta,null,"Informa estar enviando duas notas publicadas no ""Diário da Noite"". Mostra-se confiante na vitória de Portinari nas eleições."
1574,CO_1041,Quirino Campofiorito,Candido Portinari,24/05/1947,Carta,null,"Envia um questionário sobre a próxima exposição de Portinari, em Buenos Aires, para que ele possa publicar, sob a forma de entrevista, no ""Diário da Noite"". Envia, também, endereços de parentes dele, em Buneos Aires, para qualquer necessidade."
1577,CO_1042,Quirino Campofiorito,Candido Portinari,06/06/1947,Carta,Maria Biró,"Diz estar esperando respostas ao questionário enviado. Apresenta seus amigos, Sra. e Sr. Biró, solicitando a atenção de Portinari."
1578,CO_1043,Quirino Campofiorito,Candido Portinari,28/07/1947,Carta,Alfredo Bigatti,"Acusa recebimento do cardápio do banquete oferecido a Portinari, em Buenos Aires. Comenta que a notícia foi publicada pela ""Tribuna"", atrapalhando sua nota que sairia pelo ""Diário da Noite"". Informa ter enviado recortes, via avião. Envia abraços para artistas argentinos."
1579,CO_1044,Quirino Campofiorito,Candido Portinari,11/08/1947,Carta,null,"Informa ter sido avisado que Portinari enviou-lhe diversos catálogos, agradecendo-os. Torna a acusar o recebimento do cardápio do banquete oferecido a Portinari. Comenta ter lido sobre incêndio na exposição de Portinari e ter sabido que o artista recebeu algumas  encomendas de retratos."
1580,CO_1045,Quirino Campofiorito,Candido Portinari,22/08/1947,Carta,null,"Informa estar enviando recortes de jornais, com notícias publicadas no Rio de Janeiro. Acusa recebimento de notícias dos jornais argentinos. Diz que, de novidade, estão pretendendo vender gasolina nas ""quitandinhas""."
1581,CO_1046,Hilda Campofiorito,Candido Portinari,/12/1951,Cartão,null,Desejam Boas Festas e um Ano Novo de Paz.
1583,CO_1047,Quirino Campofiorito,Candido Portinari,23/01/1955,Carta,Assis Chateaubriand,"Informa estar remetendo cópia de artigo, com as devidas retificações, uma vez que saiu publicado com incorreções. Comenta sobre a escolha do local para execução dos painéis da ONU e sobre o convite para Portinari participar da II Bienal de São Paulo, informando guardar ressentimento por fatos acontecidos na I Bienal."
1584,CO_1048,Quirino Campofiorito,Candido Portinari,04/09/1955,Cartão,null,"Informa estar enviando recorte de uma reportagem, publicada em ""O Jornal""."
1586,CO_1049,Hilda Campofiorito,Maria Portinari,/01/1956,Cartão,null,Agradecem e retribuem as saudações de Ano Novo.
1588,CO_1050,Quirino Campofiorito,Candido Portinari,28/04/1956,Cartão,Eugenio Luraghi,"Cumprimenta Portinari, informando estar enviando reportagem sobre o alargamento da avenida Atlântica, em Copacabana."
1590,CO_1051,Hilda Campofiorito,Maria Portinari,/01/1957,Cartão,null,Agradecem e retribuem os votos de felicitações de fim de ano.
1592,CO_1052,Hilda Campofiorito,Maria Portinari,11/09/1957,Carta,null,"Transmite impressões de sua viagem à Itália, mostrando-se encantado com a técnica do mosaico. Refere-se à ""Triennale"" e ao Congresso Internacional de Críticos de Arte, aos quais compareceu."
1595,CO_1053,Quirino Campofiorito,Candido Portinari,07/12/1957,Cartão-postal,null,Transmite impressões de sua viagem à Espanha.
1597,CO_1054,Quirino Campofiorito,Candido Portinari,20/10/1958,Carta,Ítalo Campofiorito,"Agradece a atenção de Portinari para com Ítalo Campofiorito, pedindo notícias sobre as atividades de Portinari na França. Informa estar enviando uma carta destinada a Portinari, que estava na Escola Nacional de Belas Artes."
1599,CO_1055,Quirino Campofiorito,Candido Portinari,10/11/1960,Cartão-postal,João Candido Portinari,"Cumprimenta Portinari, relatando ter estado com João Candido e sra."
1601,CO_1056,Hilda Campofiorito,Candido Portinari,/  /19--,Carta,null,"Em carta-padrão, participam o início do funcionamento dos cursos de artes plásticas do ""Atelier Campofiorito""."
1602,CO_1057,Carlos de Campos,Mário Rodrigues,16/10/1924,Carta,null,"Acusa recebimento de carta, informando que vai entender-se com o Pensionato Artístico de São Paulo, para verificar o que pode ser feito em benefício de Portinari, conforme solicitado."
1603,CO_1058,Dario de Arruda Campos,Candido Portinari,22/02/1952,Carta,Clóvis Graciano,Cobra de Portinari apromessa de executar alguns trabalhos para o Forum de Jabuticabal.
1604,CO_1059,Deoclécio Redig de Campos,Candido Portinari,30/10/1946,Carta,null,"Como conselheiro e sócio da Associazione Artistica Internazionale, em Roma, coloca os salões da referida Associação à disposição, sabedor de estar sendo planejada uma exposição de pintura brasileira programada para algumas cidades italianas."
1605,CO_1060,Marcel Campos,Candido Portinari,05/07/1946,Carta,null,Convoca Portinari para comparecer à Assembléia Extraordinária do Conselho Técnico Administrativo da Universidade do Povo.
1606,CO_1061,Deoclécio Redig de Campos,Candido Portinari,15/10/1946,Carta,null,"Informa estar enviando carta anexa, em italiano, por ser documento oficial da Associação Artística Internacional de Roma. Ressaltando que, quem a escreveu, é um brasileiro, e seu admirador, desejoso de ver realizada uma exposição de arte brasileira, não só em Milão, mas em Roma também."
1607,CO_1062,Rodolfo Lima Martensen,Candido Portinari,02/02/1954,Carta,Flávio Motta,"Após identificar-se, diz estar enviando a prova do anúncio da exposição de Portinari, no dia 5. Informa que o clichê encontra-se com Flávio Motta."
1608,CO_1063,Clarence A. Canary,Candido Portinari,13/09/1944,Carta,null,Lamenta informar que o livro solicitado por Portinari não se acha à venda nos Estados Unidos.
1609,CO_1064,Rosalita Mendes de Almeida,Candido Portinari,18/12/1929,Carta,null,Mostra-se curiosa a respeito da viagem de Portinari a Paris e Londres. Pede mais notícias e estímulo para continuar seus estudos de pintura.
1613,CO_1065,Rosalita Mendes de Almeida,Candido Portinari,15/07/1930,Carta,Riette Mendes de Almeida,"Acusa o recebimento, agradecendo um radiograma enviado por Portinari. Comenta ter enviado, junto com Riette, trabalhos para o Salão, comentando seu provável corte. Mostra-se entusiasmada com sua viagem a Paris."
1614,CO_1066,Roberto Cantalupo,Candido Portinari,18/01/1934,Carta,null,"Comenta que o retrato agradou a todos. Pede que Portinari envie lista de cores (tintas), para envias da itália, ofertando-as ao pintor."
1615,CO_1067,Roberto Cantalupo,Candido Portinari,09/06/19--,Bilhete,null,"Cumprimenta Portinari, sem especificar algum assunto."
1616,CO_1068,Sofia Cantalupo,Candido Portinari,13/11/1934,Carta,Gaetano Vecchiotti,"Acusa recebimento de carta de Portinari. Informa que chegou, assim como Renata Crespi e o cônsul Gaetano Vecchiotti, que está hospedado no Esplanada Hotel. Deseja sucesso na exposição."
1618,CO_1069,Sofia Cantalupo,Candido Portinari,/  /193-,Carta,null,Diz estar muito grata pelo belísimo retrato. Pede que Portinari aceite um presente vindo de Roma.
1620,CO_1070,Gustavo Capanema,Cardoso de Melo Neto,11/04/1938,Carta,Paulino Portinari,"Pede ao Interventor Cardoso de Melo Neto que considere com interesse a possibilidade de promoção de cargo e transferência de Paulino Portinari, ora em Marília, SP."
1621,CO_1071,Gustavo Capanema,Candido Portinari,06/10/1938,Telegrama,null,"Envia abraços, desejando dia tranquilo, junto à família."
1622,CO_1072,Gustavo Capanema,Candido Portinari,19/06/1939,Carta,Getulio Vargas,Convida Portinari para a abertura da exposição comemorativa do centenário de nascimento de Machado de Assis.
1623,CO_1073,Gustavo Capanema,Candido Portinari,27/09/1939,Carta,Eduardo Duarte de Souza Aguiar,Informa que enviou ao presidente Getúlio Vargas a proposta da nomeação de Portinari para a cadeira de pintura mural (na Universidade do Distrito Federal). Trata de assuntos referentes à decoração do Ministério da Educação.
1625,CO_1074,Gustavo Capanema,Candido Portinari,/  /19--,Bilhete,null,Informa estar enviando um desenho (copiado) feito por uma pessoa chamada Maria da Glória.
1626,CO_1075,Gustavo Capanema,Candido Portinari,11/10/1940,Telegrama,null,Cumprimenta Portinari pelo sucesso (de sua exposição).
1627,CO_1076,Gustavo Capanema,Candido Portinari,08/03/1941,Telegrama,null,Acusa recebimento de cartas e fotografias. Felicita Portinari por seus novos trabalhos.
1628,CO_1077,Gustavo Capanema,Candido Portinari,12/03/1941,Carta,Rodrigo Mello Franco de Andrade,"Acusa recebimento de carta e das fotos das pinturas da Capelinha da ""Nonna"". Comenta as pinturas, felicitando-o. Encomenda uma cópia da ""Cabeça de Jesus"", em tamanho natural. Manifesta vontade de tombar a igreja."
1630,CO_1078,Gustavo Capanema,Candido Portinari,12/08/1941,Carta,null,"Acusa recebimento de carta de Portinari, comunicando sua próxima viagem aos Estados Unidos. Concorda com as condições pela quais o artista poderá executar as pinturas de decoração do gabinete do Ministro, dos salões de espera e de exposições (no Ministério da Educação)"
1632,CO_1079,Gustavo Capanema,Candido Portinari,17/10/1941,Carta,null,Acusa recebimento de cartas de Portinari. Parabeniza o artista por seus trabalhos. Concorda que ele fique em Washington pelo tempo que se fizer necessário.
1634,CO_1080,Gustavo Capanema,Candido Portinari,07/12/1942,Carta,Euclides da Cunha,"Elogia ""O Ùltimo Baluarte"". Descreve os temas que gostaria de ver desenvolvidos para a decoração do Ministério da Educação."
1635,CO_1081,Gustavo Capanema,Candido Portinari,22/12/1942,Carta,null,"Diz estar enviando duas revistas, que reproduzem uma jangada e um vaqueiro, para ajudá-lo nas decorações do Ministério da Educação. Elogia ""O Último Baluarte""."
1636,CO_1082,Gustavo Capanema,null,14/07/1944,Carta,null,"Recomenda que seja providenciada a renovação de contrato com o pintor Portinari, nos termos descritos."
1638,CO_1083,Gustavo Capanema,Candido Portinari,31/07/1944,Carta,null,Combina detalhes das decorações do Ministério da Educação.
1639,CO_1084,Gustavo Capanema,Candido Portinari,24/08/1944,Carta,Jacques Lipchitz,"Informa estar enviando fotografia da maquete da escultura de Jacques Lipchitz, para o edifício do MEC."
1640,CO_1085,Gustavo Capanema,Candido Portinari,16/05/1945,Carta,null,"Remete, anexo, um resumo dos entendimentos celebrados entre ele e Portinari, para a realização das pinturas do Ministério da Educação."
1642,CO_1086,Gustavo Capanema,Candido Portinari,16/10/1945,Carta,null,"Sugere que Portinari adie sua viagem a Buenos Aires, permanecendo no Rio para concluir as obras no edifício do Ministério da Educação, antes do término de seu mandato como Ministro."
1644,CO_1087,Gustavo Capanema,Candido Portinari,02/01/1947,Telegrama,null,"Deseja Feliz Ano Novo, enviando felicitações pela gloriosa exposição em Paris."
1645,CO_1088,Gustavo Capanema,Candido Portinari,15/10/1947,Telegrama,null,Cumprimenta Portinari por ocasião de seu regresso ao Rio de Janeiro.
1646,CO_1089,Gustavo Capanema,Candido Portinari,06/01/1962,Telegrama,null,Cumprimenta Portinari por seu aniversário.
1647,CO_1090,Jean Lurçat,Candido Portinari,01/02/1954,Carta,Maurice Hajje,"Lamenta não ter podido estar com Portinari pessoalmente. Pede que o pintor receba seu ajudante, que acompanha uma exposição de seus quadros (de Lurçat) e tapeçarias, pela América Latina, ajudando-o nas dificuldades que surgirem."
1648,CO_1091,Caputi,Candido Portinari,/  /1941,Carta,Raul Bopp,"Informa o endereço de Raul Bopp, em Los Angeles, avisando estar enviando carta que Bopp mandou-lhe."
1649,CO_1092,Miguel Angel Cárcano,Candido Portinari,25/09/1934,Carta,null,Informa estar enviando pagamento de retrato executado pelo artista.
1650,CO_1093,Cardillo Filho,Candido Portinari,27/08/1932,Cartão,null,"Apresenta o portador, autorizando-o a receber a obra ""Roda"". O portador também leva o pagamento pela obra."
1652,CO_1094,Rosalita Mendes de Almeida,Candido Portinari,15/07/1929,Carta,Raul Pederneiras,"Descreve a partida do Bagé, comentando ter gostado das notícias de Vitória, da Bahia e de Recife. Fala em sua persistência na pintura, pedindo a opinião de Portinari."
1657,CO_1095,Rosalita Mendes de Almeida,Candido Portinari,20/07/1929,Carta,Celso Kelly,"Tece comentários sobre a 36ª Exposição Geral da Escola de Belas Artes, destacando como o juri é acadêmico e arcaico. Diz que Celso Kelly pensa promover um Salão independente, que já conta com muitos apoios. Fala da falta que Portinari está fazendo."
1660,CO_1096,Rosalita Mendes de Almeida,Candido Portinari,12/08/1929,Carta,Hélios Seelinger,"Comenta que a abertura do 36º Salão foi muito fraca, podendo destacar dois nomes: Oswaldo Teixeira e Joaquim Ferreira. Fala da falta que Portinari faz."
