titulo,conteudo
(CO) Consulta Correspondência\CO_5465,
(CO) Consulta Correspondência\CO_5465,
(CO) Consulta Correspondência\CO_5466,
(CO) Consulta Correspondência\CO_5467,"COD_TIPO: CO
NUM_ANTDOC: 5467
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Carolyn Sherman
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Solicita que Portinari preencha um questionário anexo, dando alguns detalhes biográficos, a ser divulgado na revista do Clube do Livro de The Junior Literary Guild, destinada aos jovens. Justifica o interesse pelo artista devido às ilustrações feitas para o livro ""Maria Rosa"".
DATA_INICIO: 1942/02/19"
(CO) Consulta Correspondência\CO_5467,
(CO) Consulta Correspondência\CO_5468,
(CO) Consulta Correspondência\CO_5469,
(CO) Consulta Correspondência\CO_5470,"COD_TIPO: CO
NUM_ANTDOC: 5470
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: M. Shneerson
ONOMÁSTICO: Abrahão Koogan
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de carta. Informa do encerramento da exposição de Portinari em Jerusalém, com sucesso absoluto, e da inauguração em Tel Aviv, em breve. Trata da venda de algumas obras, especialmente de estudos para o painel ""Guerra"" que seriam adquiridos pelo sr. Koogan para serem doados ao Museu de Tel Aviv. Agradece o presente do amigo pintor.
DATA_INICIO: 1956/07/18"
(CO) Consulta Correspondência\CO_5470,
(CO) Consulta Correspondência\CO_5470,
(CO) Consulta Correspondência\CO_5470,
(CO) Consulta Correspondência\CO_5471,"COD_TIPO: CO
NUM_ANTDOC: 5471
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: José Gómez Sicre
ONOMÁSTICO: null
DESTINATARIO: Dorothy H. Dudley
MEMO_RESUMO: Responde a uma carta da srta. Dudley, informando quais as obras de Portinari que estão sendo enviadas para o Brasil (após exposição).
DATA_INICIO: 1948/01/27"
(CO) Consulta Correspondência\CO_5471,
(CO) Consulta Correspondência\CO_5472,
(CO) Consulta Correspondência\CO_5473,
(CO) Consulta Correspondência\CO_5474,
(CO) Consulta Correspondência\CO_5475,
(CO) Consulta Correspondência\CO_5475,
(CO) Consulta Correspondência\CO_5475,
(CO) Consulta Correspondência\CO_5475,
(CO) Consulta Correspondência\CO_5475,
(CO) Consulta Correspondência\CO_5476,"COD_TIPO: CO
NUM_ANTDOC: 5476
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE:  Foujita
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Informa dia e hora de sua chegada à estação do Rio de Janeiro.
DATA_INICIO: 1932/01/30"
(CO) Consulta Correspondência\CO_5477,
(CO) Consulta Correspondência\CO_5477,
(CO) Consulta Correspondência\CO_5478,
(CO) Consulta Correspondência\CO_5479,
(CO) Consulta Correspondência\CO_5479,
(CO) Consulta Correspondência\CO_5479,
(CO) Consulta Correspondência\CO_5479,
(CO) Consulta Correspondência\CO_5480,
(CO) Consulta Correspondência\CO_5480,
(CO) Consulta Correspondência\CO_5480,
(CO) Consulta Correspondência\CO_5480,
(CO) Consulta Correspondência\CO_5480,
(CO) Consulta Correspondência\CO_5480,
(CO) Consulta Correspondência\CO_5481,
(CO) Consulta Correspondência\CO_5481,
(CO) Consulta Correspondência\CO_5482,
(CO) Consulta Correspondência\CO_5483,"COD_TIPO: CO
NUM_ANTDOC: 5483
PAGINAÇÃO: 3 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE:  Djanira
ONOMÁSTICO: George Biddle
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Comenta suas visitas a museus e galerias nos Estados Unidos. Elogia a decoração de Portinari na Biblioteca do Congresso, comparando-a com a de George Biddle na Biblioteca Nacional no Rio de Janeiro. Envia lembranças de Milton Dacosta.
DATA_INICIO: 1945/09/16"
(CO) Consulta Correspondência\CO_5483,
(CO) Consulta Correspondência\CO_5483,
(CO) Consulta Correspondência\CO_5484,
(CO) Consulta Correspondência\CO_5485,
(CO) Consulta Correspondência\CO_5486,
(CO) Consulta Correspondência\CO_5486,
(CO) Consulta Correspondência\CO_5487,
(CO) Consulta Correspondência\CO_5488,
(CO) Consulta Correspondência\CO_5489,
(CO) Consulta Correspondência\CO_5490,
(CO) Consulta Correspondência\CO_5491,
(CO) Consulta Correspondência\CO_5492,
(CO) Consulta Correspondência\CO_5493,
(CO) Consulta Correspondência\CO_5494,
(CO) Consulta Correspondência\CO_5494,
(CO) Consulta Correspondência\CO_5494,
(CO) Consulta Correspondência\CO_5495,"COD_TIPO: CO
NUM_ANTDOC: 5495
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Waldomiro Corrêa Silva
ONOMÁSTICO: José Alves
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Pede colaboração de Portinari, enviando carta de apoio, para conseguir a aprovação, pela Câmara Municipal de Jardinópolis, de um projeto de lei instituindo pensão para um jovem artista, José Alves, poder frequentar a Escola de Belas Artes. Elogia a tela ""Mestiço"", da Pinacoteca de São Paulo, cumprimentando o artista por sua exposição, da qual soube por um artigo de Tarsila do Amaral.
DATA_INICIO: 1936/10/08"
(CO) Consulta Correspondência\CO_5496,
(CO) Consulta Correspondência\CO_5497,
(CO) Consulta Correspondência\CO_5498,
(CO) Consulta Correspondência\CO_5499,"COD_TIPO: CO
NUM_ANTDOC: 5499
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Eugenio Luraghi
ONOMÁSTICO: F. Postiglione
DESTINATARIO: Abrahão Koogan
MEMO_RESUMO: Acusa recebimento de carta datada de 17 de outubro de 1957. Diz que enviará nova cópia da prova do ""Kibutz"", já que ele não recebeu a que foi enviada. Informa que o sr. Postiglione deve devolver o original em breve. Avisa que escreverá dando a data de lançamento do livro.
DATA_INICIO: 1957/10/23"
(CO) Consulta Correspondência\CO_5500,"COD_TIPO: CO
NUM_ANTDOC: 5500
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Danilo Trelles
ONOMÁSTICO: Rafael Alberti
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Pede que o artista entre em contato com Rafael Alberti, para dar notícias pessoais e para inteirar-se sobre as articulações que Rafael e ele, Danilo, estão fazendo junto à Comisión de Bellas Artes de Montevidéu, ao Instituto Uruguayo-Brasileño e à Embaixada de Israel em Montevidéu, para fazer realizar uma exposição de Portinari naquela cidade.
DATA_INICIO: 1957/07/10"
(CO) Consulta Correspondência\CO_5501,
(CO) Consulta Correspondência\CO_5502,
(CO) Consulta Correspondência\CO_5502,
(CO) Consulta Correspondência\CO_5502,
(CO) Consulta Correspondência\CO_5503,
(CO) Consulta Correspondência\CO_5503,
(CO) Consulta Correspondência\CO_5504,
(CO) Consulta Correspondência\CO_5505,
(CO) Consulta Correspondência\CO_5505,
(CO) Consulta Correspondência\CO_5506,
(CO) Consulta Correspondência\CO_5507,
(CO) Consulta Correspondência\CO_5507,
(CO) Consulta Correspondência\CO_5507,
(CO) Consulta Correspondência\CO_5507,
(CO) Consulta Correspondência\CO_5508,"COD_TIPO: CO
NUM_ANTDOC: 5508
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Danilo Trelles
ONOMÁSTICO: Enrique Amorim
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Acusa recebimento de carta. Comenta ter visto, na revista ""Time"", reproduções dos painéis para a ONU. Comenta estar organizando um Festival de Cinema Brasileiro, querendo aproveitar para fazer uma exposição da ""Série Cangaceiros"" de Portinari. Comenta sobre o estado de saúde de Enrique Amorim.
DATA_INICIO: 1953/08/24"
(CO) Consulta Correspondência\CO_5509,
(CO) Consulta Correspondência\CO_5510,
(CO) Consulta Correspondência\CO_5510,
(CO) Consulta Correspondência\CO_5511,
(CO) Consulta Correspondência\CO_5512,
(CO) Consulta Correspondência\CO_5513,
(CO) Consulta Correspondência\CO_5514,"COD_TIPO: CO
NUM_ANTDOC: 5514
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Danilo Trelles
ONOMÁSTICO: Enrico Gras
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Diz já ter enviado duas cartas anteriores a essa, tratando de assuntos relativos à realização de um filme sobre as obras dele, Portinari. Pede envio de artigos que tratem da obra ""Tiradentes"".
DATA_INICIO: 1949/10/09"
(CO) Consulta Correspondência\CO_5515,"COD_TIPO: CO
NUM_ANTDOC: 5515
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Danilo Trelles
ONOMÁSTICO: Enrico Gras
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de fotografias da obra ""Tiradentes"". Propõe-se a realizar um filme sobre aquela obra e outro sobre os ""Retirantes"". Sugere a utilização dos desenhos dele e da música de Mignone para o Balé Iara.
DATA_INICIO: 1949/08/04"
(CO) Consulta Correspondência\CO_5516,"COD_TIPO: CO
NUM_ANTDOC: 5516
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Danilo Trelles
ONOMÁSTICO: Enrico Gras
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comenta o projeto de, junto à empresa ""Cufe""- Companía Uruguaya Filmadora y Exhibidora (da qual faz parte o sr. Sierra, que adquiriu a obra ""Morro""), realizar diversos documentários, desejando começar filmando temas dos quadros de Portinari. Um dos temas seria ""Retirantes"", aproveitando a música de Mignone para o Balé Iara.
DATA_INICIO: 1949/06/20"
(CO) Consulta Correspondência\CO_5517,"COD_TIPO: CO
NUM_ANTDOC: 5517
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Danilo Trelles
ONOMÁSTICO: Enrico Gras
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Faz comentários sobre seu trabalho, filmando documentários ao lado de Enrico Gras, que sonha em realizar um filme com pinturas dele, Portinari. Informa ter enviado um exemplar de uma revista que reproduzia o painel de Punta del Este e o painel de Rafael Alberti. Faz comentários sobre participantes de um congresso (da paz?) realizado na Polônia, onde René Huyghes fez elogios ao mural ""Primeira Missa"".
DATA_INICIO: 1949/02/28"
(CO) Consulta Correspondência\CO_5518,
(CO) Consulta Correspondência\CO_5519,"COD_TIPO: CO
NUM_ANTDOC: 5519
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Danilo Trelles
ONOMÁSTICO: Alfredo Varela
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Relata visita do conservador do Louvre, para conferências, onde fez inúmeros elogios ao mural ""Primeira Missa"", e confirmou a notícia da inauguração do Museu de Arte Moderna do Rio de Janeiro. Relaciona amigos que compareceram a um congresso (da paz?) na Polônia. Diz estar enviando um folheto, separado, sobre sua organização de cinema, com um catálogo de filmes. Informa sobre a situação política em Cuba.
DATA_INICIO: 1948/08/01"
(CO) Consulta Correspondência\CO_5520,
(CO) Consulta Correspondência\CO_5520,
(CO) Consulta Correspondência\CO_5521,
(CO) Consulta Correspondência\CO_5522,
(CO) Consulta Correspondência\CO_5522,
(CO) Consulta Correspondência\CO_5523,
(CO) Consulta Correspondência\CO_5524,
(CO) Consulta Correspondência\CO_5525,
(CO) Consulta Correspondência\CO_5526,
(CO) Consulta Correspondência\CO_5527,
(CO) Consulta Correspondência\CO_5528,
(CO) Consulta Correspondência\CO_5528,
(CO) Consulta Correspondência\CO_5528,
(CO) Consulta Correspondência\CO_5529,
(CO) Consulta Correspondência\CO_5529,
(CO) Consulta Correspondência\CO_5529,
(CO) Consulta Correspondência\CO_5530,
(CO) Consulta Correspondência\CO_5530,
(CO) Consulta Correspondência\CO_5531,
(CO) Consulta Correspondência\CO_5532,
(CO) Consulta Correspondência\CO_5533,
(CO) Consulta Correspondência\CO_5534,
(CO) Consulta Correspondência\CO_5535,
(CO) Consulta Correspondência\CO_5536,
(CO) Consulta Correspondência\CO_5537,
(CO) Consulta Correspondência\CO_5538,"COD_TIPO: CO
NUM_ANTDOC: 5538
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Michel Simon
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Diz-se desolado por deixar Montevidéu sem encontrar-se com o artista. Informa ter feito uma palestra, no Instituto Uruguayo-Brasileño, onde falou sobre ele, e publicado um pequeno artigo para a revista ""Arts"", falando sobre a obra ""Primeira Missa no Brasil"". Pede foto do painel, fornecendo seu endereço no Rio de Janeiro, para envio.
DATA_INICIO: 1948/  /"
(CO) Consulta Correspondência\CO_5538,
(CO) Consulta Correspondência\CO_5540,
(CO) Consulta Correspondência\CO_5540,
(CO) Consulta Correspondência\CO_5540,
(CO) Consulta Correspondência\CO_5541,
(CO) Consulta Correspondência\CO_5542,
(CO) Consulta Correspondência\CO_5543,
(CO) Consulta Correspondência\CO_5544,
(CO) Consulta Correspondência\CO_5545,
(CO) Consulta Correspondência\CO_5546,
(CO) Consulta Correspondência\CO_5546,
(CO) Consulta Correspondência\CO_5547,
(CO) Consulta Correspondência\CO_5548,
(CO) Consulta Correspondência\CO_5549,"COD_TIPO: CO
NUM_ANTDOC: 5549
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Carleton Sprague Smith
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Convida o artista a idealizar um ex-libris para um escritório, enumerando razões para tê-lo recomendado.
DATA_INICIO: 1944/02/18"
(CO) Consulta Correspondência\CO_5549,
(CO) Consulta Correspondência\CO_5550,
(CO) Consulta Correspondência\CO_5551,
(CO) Consulta Correspondência\CO_5552,
(CO) Consulta Correspondência\CO_5553,"COD_TIPO: CO
NUM_ANTDOC: 5553
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Carleton Sprague Smith
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Intermedia um pedido da revista ""Atlantic Monthly"", que deseja ter uma transparência da obra ""Retirantes"" para reproduzi-la no suplemento dedicado ao Brasil.
DATA_INICIO: 1955/09/04"
(CO) Consulta Correspondência\CO_5553,
(CO) Consulta Correspondência\CO_5554,
(CO) Consulta Correspondência\CO_5554,
(CO) Consulta Correspondência\CO_5554,
(CO) Consulta Correspondência\CO_5554,
(CO) Consulta Correspondência\CO_5555,
(CO) Consulta Correspondência\CO_5556,"COD_TIPO: CO
NUM_ANTDOC: 5556
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Djalma de Souza
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Informa estar enviando, anexo, cheque para pagamento da última prestação da maquete de um painel para o Monumento à José Ignacio Peixoto.
DATA_INICIO: 1956/09/10"
(CO) Consulta Correspondência\CO_5557,
(CO) Consulta Correspondência\CO_5558,
(CO) Consulta Correspondência\CO_5558,
(CO) Consulta Correspondência\CO_5558,
(CO) Consulta Correspondência\CO_5559,
(CO) Consulta Correspondência\CO_5560,
(CO) Consulta Correspondência\CO_5561,"COD_TIPO: CO
NUM_ANTDOC: 5561
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: Lewis Hanke
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de carta, com palavras elogiosas ao crítico de arte. Comenta estar preparando um estudo especial sobre ele, Portinari, para uma conceituada revista de arte, necessitando de fotos de seus quadros, especialmente de todos os retratos que já pintou, bem como de todos os seus dados biográficos.
DATA_INICIO: 1940/04/19"
(CO) Consulta Correspondência\CO_5561,
(CO) Consulta Correspondência\CO_5562,
(CO) Consulta Correspondência\CO_5563,
(CO) Consulta Correspondência\CO_5564,
(CO) Consulta Correspondência\CO_5565,
(CO) Consulta Correspondência\CO_5566,
(CO) Consulta Correspondência\CO_5567,
(CO) Consulta Correspondência\CO_5567,
(CO) Consulta Correspondência\CO_5568,"COD_TIPO: CO
NUM_ANTDOC: 5568
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: Roberto Assumpção
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de carta, mostrando-se satisfeito com a notícia da visita de Sérgio Buarque de Holanda, que será portador de uma obra com a qual Portinari presenteou-lhe. Reforça a necessidade do pintor enviar-lhe croquis das decorações que tenciona fazer para a Biblioteca do Congresso, antes de poder fazer a encomenda.
DATA_INICIO: 1941/05/13"
(CO) Consulta Correspondência\CO_5569,"COD_TIPO: CO
NUM_ANTDOC: 5569
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: Elizabeth Wilder
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comenta que os quadros do artista continuam em ""tournée"". Informa que não poderá encontrá-lo no Rio de Janeiro devido a problemas de ordem profissional, relatando-os. Comenta ter visto, na Guatemala, dois quadros dele, Portinari, em casa do sr. John Cabot.
DATA_INICIO: 1941/04/07"
(CO) Consulta Correspondência\CO_5570,"COD_TIPO: CO
NUM_ANTDOC: 5570
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: Artur Ramos
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comenta ter recebido carta de Luís Martins, anexa a um número da ""Revista Acadêmica"", consagrado a Tarsila do Amaral. Fala sobre a visita de Artur Ramos e a chegada de Pedro Calmon a Nova York. Pede que Portinari encaminhe uma carta sua, Robert Smith,  para o pintor Luís Soares. Elogia a técnica do pintor cubano Daniel Serra. Pede fotos dos edifícios do Ministério da Educação e da Associação Brasileira de Imprensa.
DATA_INICIO: 1941/04/23"
(CO) Consulta Correspondência\CO_5570,
(CO) Consulta Correspondência\CO_5571,
(CO) Consulta Correspondência\CO_5572,"COD_TIPO: CO
NUM_ANTDOC: 5572
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Sugestão para telegrama a ser enviado por Portinari, aceitando executar as decorações da Fundação Hispânica.
DATA_INICIO: 1941/09/17"
(CO) Consulta Correspondência\CO_5573,"COD_TIPO: CO
NUM_ANTDOC: 5573
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: null
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Diz estar enviando, anexo, um esboço das paredes da Fundação Hispânica, com suas dimensões exatas (para dimensionamento dos murais que Portinari fará)
DATA_INICIO: 1941/09/26"
(CO) Consulta Correspondência\CO_5574,"COD_TIPO: CO
NUM_ANTDOC: 5574
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Oscar Niemeyer
ONOMÁSTICO: null
DESTINATARIO: Israel Pinheiro
MEMO_RESUMO: Emite sua opinião, conforme solicitado, a respeito da proposta apresentada por Portinari, para execução de mosaico para a Capela da Nova Capital, em Brasília.
DATA_INICIO: 1958/02/"
(CO) Consulta Correspondência\CO_5575,"COD_TIPO: CO
NUM_ANTDOC: 5575
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: Lincoln Kirstein
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Tece comentários sobre as amizades que Portinari conquistou em Washington, elogiando suas pinturas (na Biblioteca do Congresso). Fala sobre as missões culturais americanas, enviadas ao Brasil. Pede notícias do pintor Luís Soares e fotografias do mural em azulejos que Portinari desenhou para o Ministério da Educação. Agradece os dois quadros que recebeu de presente do artista.
DATA_INICIO: 1942/04/25"
(CO) Consulta Correspondência\CO_5576,"COD_TIPO: CO
NUM_ANTDOC: 5576
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: Charles A. Thomson
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Diz que os murais de Portinari na Biblioteca do Congresso continuam fazendo muito sucesso. Informa ter enviado, à parte, cópia de artigo publicado nos ""Anales del Instituto de Investigaciones Esteticas"", de autoria de Justino Fernandez, sobre os murais. Mostra-se curioso para conhecer os painéis para a Rádio Tupi (do Rio de Janeiro), muito elogiados por Sérgio Milliet.
DATA_INICIO: 1943/03/09"
(CO) Consulta Correspondência\CO_5577,
(CO) Consulta Correspondência\CO_5578,"COD_TIPO: CO
NUM_ANTDOC: 5578
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: Germain Bazin
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Solicita fotografias de diversas obras, listadas, para ilustrarem livro a ser editado pela União Panamericana, para o qual ele, Robert Smith, escreverá a introdução.
DATA_INICIO: 1947/08/14"
(CO) Consulta Correspondência\CO_5578,
(CO) Consulta Correspondência\CO_5579,"COD_TIPO: CO
NUM_ANTDOC: 5579
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Robert Smith
ONOMÁSTICO: Archibald MacLeish
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Mostra-se satisfeito poque Portinari tem interesse em realizar as decorações da Fundação Hispânica. Fala sobre a necessidade dos croquis, informando que MacLeish escreverá dando mais detalhes.
DATA_INICIO: 1940/11/16"
(CO) Consulta Correspondência\CO_5579,
(CO) Consulta Correspondência\CO_5580,
(CO) Consulta Correspondência\CO_5581,
(CO) Consulta Correspondência\CO_5582,
(CO) Consulta Correspondência\CO_5583,
(CO) Consulta Correspondência\CO_5583,
(CO) Consulta Correspondência\CO_5584,
(CO) Consulta Correspondência\CO_5585,
(CO) Consulta Correspondência\CO_5586,
(CO) Consulta Correspondência\CO_5587,
(CO) Consulta Correspondência\CO_5588,
(CO) Consulta Correspondência\CO_5589,
(CO) Consulta Correspondência\CO_5589,
(CO) Consulta Correspondência\CO_5589,
(CO) Consulta Correspondência\CO_5590,
(CO) Consulta Correspondência\CO_5590,
(CO) Consulta Correspondência\CO_5591,
(CO) Consulta Correspondência\CO_5592,
(CO) Consulta Correspondência\CO_5593,
(CO) Consulta Correspondência\CO_5593,
(CO) Consulta Correspondência\CO_5593,
(CO) Consulta Correspondência\CO_5593,
(CO) Consulta Correspondência\CO_5593,
(CO) Consulta Correspondência\CO_5594,
(CO) Consulta Correspondência\CO_5595,
(CO) Consulta Correspondência\CO_5596,
(CO) Consulta Correspondência\CO_5596,
(CO) Consulta Correspondência\CO_5597,
(CO) Consulta Correspondência\CO_5597,
(CO) Consulta Correspondência\CO_5598,"COD_TIPO: CO
NUM_ANTDOC: 5598
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: José Roberto de Macedo Soares
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Agradece estudo para a obra ""Primeira Missa no Brasil"" que o artista mandou-lhe de presente.
DATA_INICIO: 1948/07/16"
(CO) Consulta Correspondência\CO_5599,"COD_TIPO: CO
NUM_ANTDOC: 5599
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Oscar Niemeyer
ONOMÁSTICO: Gustavo Capanema
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Trata de assuntos relativos às obras da Pampulha, solicitando orçamento dos croquis. Relata conversa que teve com Capanema sobre as obras do Ministério da Educação, incluindo as obras dele, Portinari.
DATA_INICIO: 1944/  /"
(CO) Consulta Correspondência\CO_5599,
(CO) Consulta Correspondência\CO_5599,
(CO) Consulta Correspondência\CO_5599,
(CO) Consulta Correspondência\CO_5600,"Remetente: Oscar Niemeyer
Nova York
193_
Destinatário: Candido Portinari"
(CO) Consulta Correspondência\CO_5600,
(CO) Consulta Correspondência\CO_5601,
(CO) Consulta Correspondência\CO_5602,"COD_TIPO: CO
NUM_ANTDOC: 5602
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Oscar Niemeyer
ONOMÁSTICO: Juscelino Kubitschek
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Trata de assuntos relativos às decorações da Igreja da Pampulha.
DATA_INICIO: 1945/01/"
(CO) Consulta Correspondência\CO_5602,
(CO) Consulta Correspondência\CO_5603,"COD_TIPO: CO
NUM_ANTDOC: 5603
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Oscar Niemeyer
ONOMÁSTICO: Gustavo Capanema
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comenta assuntos diversos, mostrando-se satisfeito em saber que a pintura (Primeira Missa) está agradando ao pintor, informando que o prédio do banco está quase pronto. Fala da possibilidade de construção de um teatro em frente ao edifício do Ministério da Educação.
DATA_INICIO: 1948/  /"
(CO) Consulta Correspondência\CO_5604,
(CO) Consulta Correspondência\CO_5604,
(CO) Consulta Correspondência\CO_5605,
(CO) Consulta Correspondência\CO_5606,"COD_TIPO: CO
NUM_ANTDOC: 5606
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Oscar Niemeyer
ONOMÁSTICO: Clemente Mariani
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Relata as dificuldades, junto à Alfândega, para conseguir a entrada, no Brasil, da obra ""Primeira Missa"", vinda de Montevidéu, livre de taxas de importação.
DATA_INICIO: 1948/  /"
(CO) Consulta Correspondência\CO_5607,"COD_TIPO: CO
NUM_ANTDOC: 5607
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Oscar Niemeyer
ONOMÁSTICO: Thomaz Saavedra
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Informa que Portinari deve endereçar o painel (""Primeira Missa"") ao Instituto dos Arquitetos do Brasil.
DATA_INICIO: 1948/03/15"
(CO) Consulta Correspondência\CO_5608,"COD_TIPO: CO
NUM_ANTDOC: 5608
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Oscar Niemeyer
ONOMÁSTICO: Juscelino Kubitschek
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Trata de assuntos relativos à execução de painéis para o novo edfício da revista ""O Cruzeiro"".
DATA_INICIO: 1954/01/"
(CO) Consulta Correspondência\CO_5608,
(CO) Consulta Correspondência\CO_5609,"COD_TIPO: CO
NUM_ANTDOC: 5609
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Oscar Niemeyer
ONOMÁSTICO: Assis Chateaubriand
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Trata de assunto relativo à encomenda de mural para o edifício da revista ""O Cruzeiro"". Fala na possibilidade de ser encomendado um outro mural para uma rádio pernambucana, de Assis Chateaubriand.
DATA_INICIO: 1954/01/"
(CO) Consulta Correspondência\CO_5610,
(CO) Consulta Correspondência\CO_5610,
(CO) Consulta Correspondência\CO_5611,
(CO) Consulta Correspondência\CO_5612,
(CO) Consulta Correspondência\CO_5613,
(CO) Consulta Correspondência\CO_5614,
(CO) Consulta Correspondência\CO_5615,
(CO) Consulta Correspondência\CO_5615,
(CO) Consulta Correspondência\CO_5615,
(CO) Consulta Correspondência\CO_5616,"COD_TIPO: CO
NUM_ANTDOC: 5616
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: null
ONOMÁSTICO: null
DESTINATARIO: Renzo Biasion
MEMO_RESUMO: Apresenta proposta para execução de um mosaico na Capela da Nova Capital do Brasil, Brasília (certamente solicitado por Portinari, através de Renzo Biasion)
DATA_INICIO: 1957/09/02"
